,Company,Style,Price,Star Ratings List,Size,Country of Manufacturer,Units Sold,Units Returned,Months on Market,Sales Trend,Average Star Rating
141,Classic Cuts,paper bag,120.69,"[3.1, 3.1, 2.7, 5.0, 5.0, 1.3, 3.2, 5.0, 4.7, 3.1]",XL,China,5043,173,2,Increasing,2.091352798051915
142,Classic Cuts,paper bag,81.05000000000001,"[5.0, 4.8, 1.5, 4.3, 1.1, 2.4, 1.8, 1.1, 4.5, 1.1]",L,Turkey,9457,35,59,Increasing,1.3759628057595685
143,Comfort Fit,skinny,53.32,"[3.5, 2.9, 1.9, 5.0, 3.9, 2.5, 1.3, 1.4, 4.9, 1.9]",XS,India,1614,440,62,Increasing,1.499898603921828
144,Urban Style,sailor,149.04,"[2.0, 2.7, 2.2, 3.1, 1.4, 3.2, 1.1, 5.0, 4.4, 5.0]",XS,India,5731,126,56,Increasing,1.57137393454821
145,Retro Wear,skinny,134.9,"[2.6, 5.0, 4.9, 4.4, 3.6, 1.0, 5.0, 3.3, 1.7, 3.3]",XL,USA,4428,341,30,Decreasing,1.9662401849160123
146,Retro Wear,skinny,152.29,"[2.0, 5.0, 2.6, 3.9, 5.0, 5.0, 1.5, 2.1, 3.2, 1.1]",S,Vietnam,1559,322,14,Increasing,1.6769017499897676
147,Jeans Unlimited,straight,112.46000000000001,"[1.6, 1.8, 4.3, 1.0, 4.5, 4.6, 5.0, 5.0, 3.5, 3.1]",L,Vietnam,3779,-19,3,Increasing,1.9311564981655658
148,Urban Style,paper bag,62.809999999999995,"[5.0, 4.9, 5.0, 2.2, 2.9, 4.6, 1.2, 2.5, 4.7, 3.3]",M,USA,8790,78,5,Increasing,2.1004311550203028
149,Blue Threads,wide,32.22,"[3.5, 1.2, 1.2, 2.0, 1.2, 4.1, 5.0, 3.5, 2.1, 5.0]",M,India,7936,109,21,Decreasing,1.468541137073599
150,Jeans Unlimited,straight,77.33,"[2.8, 3.9, 5.0, 2.8, 5.0, 4.8, 2.5, 5.0, 2.4, 1.3]",XL,Mexico,9006,333,6,Stable,2.0283387367633097
151,Vintage Vogue,wide,46.589999999999996,"[2.9, 2.9, 3.0, 5.0, 1.4, 4.9, 5.0, 1.3, 5.0, 1.2]",S,Turkey,5546,332,53,Increasing,1.7767675702988823
152,Comfort Fit,trouser,102.49,"[4.6, 1.7, 4.7, 5.0, 3.0, 3.7, 5.0, 4.0, 3.6, 5.0]",L,Bangladesh,4427,0,51,Increasing,2.480559269263125
153,Retro Wear,cropped,34.620000000000005,"[2.1, 2.0, 2.1, 4.4, 3.2, 4.4, 3.9, 1.1, 5.0, 3.6]",XS,Mexico,2041,390,14,Stable,1.7099249185653862
154,Denim Co.,sailor,112.72,"[1.5, 1.6, 4.6, 1.4, 2.6, 4.4, 1.6, 4.3, 5.0, 2.9]",XS,China,3429,525,12,Decreasing,1.555379671681277
155,Jeans Unlimited,tapered,85.88000000000001,"[5.0, 3.3, 3.2, 4.1, 4.1, 2.6, 2.9, 4.2, 3.9, 3.6]",XS,Mexico,7827,19,46,Increasing,2.155310739274982
156,Blue Threads,cropped,43.9,"[3.4, 4.9, 4.6, 2.5, 2.8, 4.9, 1.2, 5.0, 4.1, 3.6]",L,India,2860,443,22,Increasing,2.1645264496409453
157,Comfort Fit,sailor,120.21000000000001,"[5.0, 1.6, 1.4, 4.5, 3.3, 2.1, 3.8, 3.9, 1.1, 2.0]",XL,Turkey,4056,202,26,Increasing,1.4607408581010815
158,Urban Style,trouser,94.03999999999999,"[1.7, 5.0, 4.3, 5.0, 5.0, 1.2, 2.4, 3.2, 2.8, 2.6]",XL,Turkey,7507,147,55,Decreasing,1.8276076282199698
159,Urban Style,skinny,68.3,"[3.0, 1.6, 4.8, 4.1, 4.1, 2.5, 5.0, 1.4, 5.0, 5.0]",L,China,6585,47,53,Decreasing,2.118645994484688
160,Modern Denim,jogger,86.79,"[2.7, 2.7, 2.1, 4.3, 4.2, 2.5, 5.0, 2.1, 1.8, 3.5]",XS,Turkey,8329,95,58,Stable,1.6359909293908925
161,Modern Denim,flared,18.12,"[1.4, 4.3, 1.6, 3.0, 4.7, 5.0, 3.1, 5.0, 2.1, 3.4]",L,Mexico,5325,328,32,Increasing,1.8618441117748816
162,Classic Cuts,tapered,112.08,"[1.8, 1.5, 5.0, 5.0, 5.0, 3.3, 4.5, 3.1, 2.6, 4.9]",XL,India,5168,131,4,Stable,2.136938939981779
163,Denim Co.,jogger,49.12,"[2.8, 1.3, 5.0, 4.0, 4.4, 2.5, 5.0, 5.0, 2.6, 5.0]",M,Turkey,7364,535,46,Decreasing,2.2202444088498443
164,Comfort Fit,jogger,21.169999999999998,"[5.0, 1.4, 1.7, 2.8, 4.6, 3.6, 5.0, 5.0, 4.3, 1.1]",S,Vietnam,9631,322,24,Stable,1.939900412651872
165,Jeans Unlimited,paper bag,35.09,"[5.0, 5.0, 4.4, 1.7, 1.7, 5.0, 2.3, 3.1, 3.8, 4.7]",XS,Vietnam,6991,371,41,Stable,2.136938939981779
166,Comfort Fit,jogger,56.61,"[2.0, 5.0, 1.8, 1.2, 3.7, 1.2, 4.4, 1.4, 5.0, 2.8]",M,Vietnam,3017,52,12,Increasing,1.445187058954756
167,Trendy Tailors,paper bag,35.69,"[1.5, 1.0, 5.0, 3.8, 4.8, 2.2, 3.7, 2.7, 5.0, 3.6]",XS,Mexico,5095,33,28,Stable,1.8361408309936622
168,Blue Threads,tapered,38.9,"[1.2, 5.0, 3.5, 5.0, 2.3, 2.0, 1.6, 4.1, 3.1, 4.4]",M,USA,7142,346,5,Stable,1.7432126128170133
169,Urban Style,flared,91.10999999999999,"[2.5, 3.0, 5.0, 3.7, 1.4, 4.0, 4.6, 2.5, 2.8, 2.8]",M,Turkey,2778,72,8,Decreasing,1.7515761848244589
170,Trendy Tailors,sailor,57.78,"[4.2, 4.7, 1.6, 5.0, 5.0, 1.5, 1.2, 3.9, 3.8, 2.6]",S,USA,5713,148,2,Increasing,1.8532590179085613
171,Denim Co.,trouser,68.94,"[5.0, 4.5, 1.2, 3.8, 4.7, 3.9, 3.9, 3.9, 3.6, 3.8]",XL,USA,6289,258,26,Decreasing,2.2861895919620774
172,Retro Wear,cropped,106.49,"[5.0, 3.2, 3.1, 4.5, 5.0, 1.1, 5.0, 5.0, 1.7, 2.2]",XL,Turkey,1351,89,22,Stable,2.0552310804041167
173,Denim Co.,paper bag,31.960000000000004,"[4.9, 2.7, 4.3, 2.7, 1.1, 4.2, 1.3, 1.1, 3.5, 5.0]",L,Turkey,9414,230,20,Increasing,1.6278574819544738
174,Comfort Fit,trouser,115.4,"[3.8, 5.0, 5.0, 2.3, 2.0, 3.0, 5.0, 4.4, 1.6, 5.0]",XS,Turkey,2999,339,42,Stable,2.1737621653427044
175,Comfort Fit,tapered,69.86000000000001,"[1.3, 5.0, 4.1, 1.0, 4.2, 4.4, 3.6, 1.4, 2.1, 4.2]",XS,Turkey,2560,74,44,Increasing,1.6686869882431197
176,Blue Threads,tapered,31.32,"[5.0, 4.9, 4.4, 1.4, 5.0, 5.0, 2.4, 3.9, 4.8, 3.4]",S,Vietnam,122,511,55,Increasing,2.4706194265908237
177,Modern Denim,jogger,38.15,"[5.0, 1.3, 3.0, 1.7, 1.3, 4.1, 3.1, 5.0, 5.0, 4.9]",M,Mexico,4661,458,2,Increasing,1.9311564981655658
178,Classic Cuts,skinny,34.95,"[3.0, 2.8, 2.7, 1.9, 5.0, 3.1, 4.7, 2.6, 4.0, 1.4]",M,China,5691,158,12,Decreasing,1.660488561984543
179,Jeans Unlimited,wide,108.44999999999999,"[1.9, 2.1, 5.0, 2.3, 3.0, 2.8, 1.1, 3.5, 1.9, 4.0]",XL,China,5974,312,35,Stable,1.3759628057595679
180,Trendy Tailors,straight,130.29,"[4.9, 2.4, 4.1, 4.9, 5.0, 1.5, 2.8, 5.0, 5.0, 2.6]",XL,Bangladesh,3693,147,32,Increasing,2.27670544815825
181,Blue Threads,flared,117.42,"[5.0, 5.0, 4.0, 5.0, 2.3, 3.9, 4.4, 1.1, 1.9, 1.8]",XL,Mexico,4640,33,23,Stable,1.9311564981655658
182,Urban Style,cropped,97.1,"[4.6, 5.0, 4.5, 2.5, 2.8, 5.0, 4.4, 1.4, 2.1, 5.0]",S,Mexico,3862,367,48,Decreasing,2.192294017303783
183,Jeans Unlimited,paper bag,68.54,"[2.1, 1.3, 1.8, 1.5, 2.7, 2.5, 5.0, 5.0, 1.9, 3.5]",M,China,1512,277,32,Stable,1.3531658917903508
184,Jeans Unlimited,trouser,127.45,"[3.2, 3.7, 4.4, 2.1, 5.0, 5.0, 1.8, 5.0, 1.4, 5.0]",S,Vietnam,6770,68,37,Stable,2.1277826578243912
185,Classic Cuts,jogger,41.93,"[2.3, 3.7, 4.7, 5.0, 4.1, 3.8, 5.0, 1.9, 2.9, 3.9]",XS,Turkey,8517,82,47,Stable,2.192294017303782
186,Jeans Unlimited,sailor,109.39,"[2.2, 3.0, 1.1, 1.9, 5.0, 2.0, 5.0, 1.3, 5.0, 4.5]",L,Bangladesh,3153,389,6,Decreasing,1.6441405685069412
187,Retro Wear,paper bag,18.02,"[3.4, 3.1, 5.0, 3.7, 4.9, 5.0, 3.0, 5.0, 1.9, 1.8]",S,USA,2084,392,41,Decreasing,2.1461149351943005
188,Modern Denim,cropped,122.81,"[3.9, 3.9, 5.0, 3.7, 4.9, 5.0, 3.0, 2.6, 3.5, 5.0]",M,Vietnam,1202,119,7,Decreasing,2.5005124517910793
189,Classic Cuts,jogger,90.38,"[2.2, 1.1, 4.0, 2.7, 2.6, 5.0, 1.8, 5.0, 1.4, 3.0]",XS,India,4913,34,35,Increasing,1.4685411370735983
190,Comfort Fit,wide,51.11,"[5.0, 5.0, 3.9, 1.9, 1.9, 4.4, 4.5, 5.0, 2.7, 1.3]",M,Mexico,7063,296,18,Decreasing,2.0372840673575583
191,Trendy Tailors,trouser,135.13000000000002,"[2.4, 1.1, 2.2, 4.3, 2.1, 3.5, 3.1, 5.0, 5.0, 1.2]",L,India,5588,71,26,Increasing,1.555379671681277
192,Modern Denim,tapered,132.32999999999998,"[2.7, 1.9, 4.2, 5.0, 5.0, 1.7, 1.2, 2.7, 1.7, 4.5]",L,Turkey,8075,285,16,Decreasing,1.6116390261603502
193,Comfort Fit,wide,131.52,"[3.6, 5.0, 3.1, 5.0, 1.5, 1.9, 5.0, 1.4, 2.3, 3.0]",M,USA,9421,321,58,Increasing,1.7099249185653855
194,Denim Co.,straight,120.51,"[3.2, 1.3, 4.2, 5.0, 5.0, 4.9, 4.3, 2.7, 4.8, 2.5]",S,USA,4612,144,65,Stable,2.248380532697135
195,Denim Co.,jogger,115.69,"[4.9, 3.2, 1.0, 4.8, 2.6, 1.5, 4.5, 5.0, 5.0, 5.0]",M,Bangladesh,1883,262,40,Decreasing,2.2109071213927494
196,Retro Wear,cropped,52.91,"[4.3, 2.4, 3.9, 5.0, 5.0, 1.2, 1.5, 1.3, 4.4, 1.1]",XS,China,9176,-37,56,Stable,1.57137393454821
197,Denim Co.,flared,20.419999999999998,"[5.0, 2.8, 2.0, 1.8, 4.7, 5.0, 5.0, 3.8, 3.7, 1.9]",S,Vietnam,9164,266,39,Decreasing,2.046248155271118
198,Urban Style,flared,21.54,"[4.8, 4.5, 2.6, 5.0, 2.8, 4.4, 5.0, 5.0, 2.3, 4.6]",S,India,2942,368,1,Decreasing,2.550832758625188
199,Trendy Tailors,paper bag,121.88,"[2.6, 3.6, 2.9, 5.0, 4.8, 4.6, 1.5, 3.3, 1.5, 2.8]",S,Turkey,7534,303,21,Stable,1.7767675702988823
0,Trendy Tailors,tapered,111.75,"[3.7, 1.7, 5.0, 1.1, 1.2, 3.5, 1.4, 1.9, 1.2, 4.2]",XL,Mexico,9301,110,45,Decreasing,1.1757483926975425
1,Urban Style,tapered,119.84,"[1.3, 5.0, 5.0, 2.4, 2.3, 4.7, 2.1, 2.8, 2.6, 5.0]",XS,Bangladesh,3690,32,13,Stable,1.8276076282199698
2,Blue Threads,cropped,77.05,"[4.1, 4.6, 2.3, 3.3, 3.0, 1.5, 4.9, 5.0, 5.0, 4.8]",L,Bangladesh,5595,-33,23,Increasing,2.305222374505112
3,Trendy Tailors,wide,81.63,"[3.0, 3.1, 1.4, 4.9, 4.5, 4.9, 4.1, 5.0, 5.0, 3.1]",S,USA,168,377,-3,Stable,2.353186562210347
4,Blue Threads,flared,33.91,"[2.7, 3.1, 1.2, 1.3, 1.9, 1.8, 1.5, 5.0, 2.5, 4.9]",XL,USA,7141,466,13,Increasing,1.2486042262134758
5,Denim Co.,flared,70.36,"[5.0, 1.2, 4.7, 5.0, 3.4, 5.0, 3.0, 4.8, 3.6, 4.4]",XS,Mexico,3466,259,43,Decreasing,2.460703847028781
6,Classic Cuts,cropped,44.08,"[1.6, 1.9, 3.7, 2.8, 1.6, 1.4, 1.9, 2.8, 5.0, 1.5]",XL,Bangladesh,1892,526,5,Stable,1.1256553419911783
7,Blue Threads,paper bag,123.19999999999999,"[1.9, 5.0, 3.7, 1.3, 4.7, 4.3, 3.2, 5.0, 5.0, 3.4]",XL,Turkey,6355,416,17,Stable,2.2109071213927494
8,Denim Co.,tapered,133.13,"[2.1, 5.0, 2.5, 2.0, 5.0, 1.1, 4.9, 5.0, 3.5, 1.2]",XS,China,9753,469,54,Stable,1.7515761848244598
9,Urban Style,sailor,82.97,"[3.7, 4.6, 1.4, 5.0, 1.3, 5.0, 1.8, 5.0, 2.9, 3.4]",XL,USA,4531,297,64,Decreasing,1.905031866199602
10,Denim Co.,flared,148.04,"[3.3, 4.7, 5.0, 2.3, 3.8, 1.0, 3.7, 3.0, 3.2, 2.0]",L,Turkey,9392,161,16,Decreasing,1.7265355336513357
11,Blue Threads,straight,97.12,"[5.0, 4.7, 3.5, 4.0, 1.1, 2.9, 1.9, 5.0, 1.9, 5.0]",S,China,8965,0,46,Increasing,1.9838907373057266
12,Vintage Vogue,sailor,111.41,"[1.0, 1.9, 1.5, 5.0, 1.8, 1.9, 4.6, 3.8, 3.7, 5.0]",L,Bangladesh,8740,123,25,Decreasing,1.5793949580542779
13,Vintage Vogue,tapered,102.59,"[4.4, 5.0, 4.5, 3.1, 4.2, 3.9, 5.0, 1.1, 2.1, 4.8]",L,Bangladesh,3655,-17,51,Decreasing,2.267242637500627
14,Blue Threads,paper bag,97.49,"[2.9, 3.7, 5.0, 5.0, 3.1, 3.9, 3.1, 5.0, 1.2, 4.7]",M,USA,915,528,6,Decreasing,2.2202444088498448
15,Blue Threads,tapered,43.6,"[2.2, 1.0, 5.0, 1.5, 3.6, 5.0, 1.0, 1.8, 4.0, 1.9]",M,India,1096,262,56,Increasing,1.3305072660710398
16,Modern Denim,jogger,132.5,"[4.9, 2.6, 4.8, 3.4, 3.3, 3.5, 5.0, 1.0, 5.0, 1.9]",M,China,7159,121,7,Stable,2.0194120848938413
17,Trendy Tailors,jogger,134.31,"[2.3, 3.8, 3.9, 1.4, 5.0, 3.7, 4.7, 1.6, 5.0, 1.1]",M,Mexico,8417,218,37,Increasing,1.7683536175558443
18,Retro Wear,paper bag,127.55,"[1.4, 5.0, 2.5, 1.6, 3.4, 1.6, 4.4, 1.3, 4.8, 4.8]",L,USA,6993,366,47,Decreasing,1.6278574819544736
19,Comfort Fit,cropped,97.46000000000001,"[3.7, 4.1, 3.1, 5.0, 1.7, 4.5, 1.6, 3.5, 2.9, 1.9]",XS,India,509,484,40,Increasing,1.7265355336513355
20,Denim Co.,wide,144.26999999999998,"[2.4, 2.3, 2.5, 5.0, 3.5, 1.2, 2.5, 4.3, 3.1, 4.5]",M,Vietnam,8100,430,10,Decreasing,1.6686869882431197
21,Retro Wear,cropped,125.97000000000001,"[3.1, 5.0, 2.3, 5.0, 4.1, 2.2, 5.0, 2.5, 1.4, 4.4]",XS,Turkey,9097,255,53,Decreasing,1.9838907373057266
22,Comfort Fit,skinny,31.189999999999998,"[3.5, 2.1, 3.6, 4.1, 4.6, 3.1, 2.9, 2.9, 5.0, 2.4]",L,Bangladesh,9311,416,27,Decreasing,1.9137222888350394
23,Vintage Vogue,straight,67.26,"[5.0, 2.7, 1.8, 1.3, 5.0, 4.5, 1.2, 2.3, 3.8, 3.4]",M,India,5356,243,4,Stable,1.6441405685069412
24,Classic Cuts,skinny,57.35,"[3.3, 2.9, 3.9, 2.8, 4.8, 4.2, 5.0, 5.0, 2.7, 3.5]",XL,Bangladesh,756,112,37,Stable,2.267242637500627
25,Classic Cuts,wide,102.56,"[1.4, 3.2, 5.0, 4.6, 2.2, 2.2, 2.8, 3.8, 4.0, 2.3]",XL,China,2715,9,54,Increasing,1.6851328849994185
26,Comfort Fit,paper bag,133.66,"[1.7, 4.3, 3.3, 3.0, 4.2, 5.0, 3.3, 3.9, 2.4, 2.7]",M,Vietnam,5820,334,9,Stable,1.879066581787766
27,Urban Style,sailor,53.31,"[3.3, 1.0, 3.0, 5.0, 4.4, 3.6, 3.4, 3.4, 4.6, 2.8]",XL,Bangladesh,3322,200,34,Decreasing,1.939900412651872
28,Urban Style,flared,39.55,"[2.6, 2.8, 4.6, 2.9, 5.0, 5.0, 3.9, 3.3, 3.6, 5.0]",XL,India,6374,77,1,Increasing,2.324341997764146
29,Jeans Unlimited,jogger,135.5,"[3.5, 5.0, 5.0, 1.6, 2.4, 5.0, 4.0, 3.8, 1.8, 2.0]",M,India,6368,263,11,Stable,1.905031866199601
30,Urban Style,paper bag,80.78,"[3.4, 2.7, 2.4, 2.5, 5.0, 4.2, 2.2, 3.8, 5.0, 2.0]",XL,Turkey,4715,125,45,Stable,1.8276076282199698
31,Comfort Fit,cropped,114.09,"[4.8, 2.8, 2.7, 2.3, 3.5, 5.0, 3.8, 5.0, 2.2, 2.2]",L,Bangladesh,9838,377,0,Decreasing,1.9224304783699333
32,Urban Style,cropped,136.04,"[1.9, 4.2, 1.3, 3.2, 5.0, 2.1, 1.7, 4.5, 5.0, 2.9]",L,Bangladesh,8647,204,13,Increasing,1.7099249185653853
33,Comfort Fit,cropped,66.37,"[4.7, 5.0, 2.3, 2.6, 5.0, 3.1, 5.0, 4.8, 1.7, 2.0]",XL,Vietnam,133,539,32,Stable,2.091352798051915
34,Comfort Fit,trouser,106.63,"[2.8, 3.7, 3.6, 5.0, 4.3, 4.7, 1.2, 5.0, 2.5, 1.1]",XL,Turkey,5682,395,45,Increasing,1.8877040734336523
35,Comfort Fit,wide,58.550000000000004,"[5.0, 1.7, 3.0, 4.1, 5.0, 3.8, 3.9, 3.9, 3.1, 3.8]",M,Turkey,7067,62,22,Decreasing,2.192294017303782
36,Retro Wear,straight,91.36999999999999,"[4.6, 1.9, 3.7, 4.7, 3.4, 5.0, 3.9, 5.0, 2.2, 2.7]",XL,Bangladesh,7327,361,9,Decreasing,2.1737621653427057
37,Vintage Vogue,wide,21.47,"[5.0, 2.9, 1.6, 3.3, 1.2, 5.0, 5.0, 1.5, 3.4, 3.1]",S,Vietnam,8551,349,57,Increasing,1.7265355336513357
38,Retro Wear,wide,101.47,"[2.7, 2.1, 4.9, 1.5, 1.9, 5.0, 3.6, 4.9, 1.1, 4.5]",S,China,225,74,12,Increasing,1.7432126128170133
39,Blue Threads,straight,73.92,"[4.1, 1.3, 3.9, 2.4, 3.8, 3.0, 5.0, 5.0, 3.9, 5.0]",S,China,9954,21,55,Stable,2.201590360105674
40,Jeans Unlimited,tapered,77.86,"[4.8, 5.0, 3.6, 2.7, 4.7, 5.0, 2.9, 5.0, 5.0, 1.9]",XS,USA,1241,298,20,Decreasing,2.5105261539470853
41,Jeans Unlimited,flared,114.97999999999999,"[1.2, 4.2, 1.7, 3.8, 5.0, 2.4, 3.2, 5.0, 3.2, 2.7]",XL,Mexico,6450,255,37,Stable,1.7599565045395236
42,Vintage Vogue,skinny,91.26,"[2.3, 4.8, 3.6, 5.0, 1.9, 2.3, 1.3, 2.6, 3.4, 2.3]",M,Turkey,8017,373,23,Increasing,1.5235815007292683
43,Denim Co.,cropped,35.17,"[3.4, 5.0, 4.3, 2.4, 2.6, 5.0, 5.0, 4.2, 2.3, 2.3]",M,India,6145,367,28,Decreasing,2.1186459944846874
44,Vintage Vogue,cropped,118.79,"[5.0, 2.7, 3.5, 3.2, 5.0, 5.0, 4.5, 1.9, 1.8, 1.3]",XS,Vietnam,767,206,21,Decreasing,1.8877040734336514
45,Urban Style,jogger,127.30000000000001,"[5.0, 1.9, 5.0, 1.1, 3.2, 2.4, 3.3, 1.9, 5.0, 2.3]",S,Vietnam,10032,50,19,Increasing,1.652306434175613
46,Jeans Unlimited,trouser,59.42999999999999,"[1.5, 1.1, 4.3, 5.0, 4.0, 2.3, 4.9, 5.0, 2.1, 2.9]",S,Turkey,7586,184,32,Stable,1.8190916143115734
47,Vintage Vogue,cropped,107.33999999999999,"[4.1, 2.1, 2.1, 2.3, 4.4, 5.0, 4.0, 2.8, 4.1, 4.8]",XS,China,6553,26,30,Stable,2.0462481552711163
48,Denim Co.,wide,73.24000000000001,"[4.1, 2.6, 1.0, 5.0, 2.8, 2.2, 4.0, 3.5, 5.0, 1.1]",L,Bangladesh,5919,357,52,Decreasing,1.6686869882431197
49,Blue Threads,trouser,63.919999999999995,"[4.1, 3.9, 2.8, 2.1, 5.0, 5.0, 5.0, 3.3, 3.5, 3.5]",L,Turkey,5537,375,43,Stable,2.27670544815825
50,Modern Denim,paper bag,77.02,"[2.2, 3.2, 3.6, 4.9, 1.1, 4.6, 5.0, 3.8, 1.4, 3.2]",L,USA,4675,282,29,Stable,1.8105927367269654
51,Modern Denim,flared,101.96,"[3.7, 4.4, 2.0, 5.0, 3.1, 2.0, 3.6, 4.0, 5.0, 5.0]",L,Turkey,1354,419,59,Stable,2.2389810021803473
52,Denim Co.,paper bag,101.64,"[1.7, 5.0, 2.1, 2.9, 2.1, 5.0, 4.7, 1.2, 2.4, 1.2]",L,China,843,232,55,Increasing,1.429695474265731
53,Blue Threads,skinny,27.35,"[1.4, 1.6, 3.6, 2.8, 1.2, 5.0, 2.8, 3.2, 1.9, 4.9]",XS,USA,6722,355,38,Increasing,1.4374334993047326
54,Modern Denim,cropped,140.67,"[3.4, 5.0, 3.1, 3.1, 4.5, 4.9, 1.9, 1.9, 1.7, 2.1]",S,Bangladesh,3248,89,17,Decreasing,1.6933804317911663
55,Denim Co.,sailor,118.5,"[4.9, 3.0, 4.2, 5.0, 5.0, 3.2, 4.2, 2.3, 3.7, 5.0]",XL,Mexico,6084,255,43,Stable,2.5005124517910793
56,Comfort Fit,wide,38.92,"[1.1, 3.4, 5.0, 2.9, 4.8, 4.0, 1.3, 2.4, 2.9, 5.0]",XL,USA,9184,389,35,Stable,1.7936461848862064
57,Denim Co.,wide,152.91,"[3.1, 3.7, 5.0, 2.7, 3.8, 1.1, 1.7, 2.3, 4.3, 1.5]",XL,Vietnam,37,228,41,Decreasing,1.4998986039218278
58,Trendy Tailors,cropped,54.61,"[4.3, 3.6, 5.0, 3.6, 3.3, 2.5, 1.6, 3.9, 1.3, 1.2]",M,India,842,127,35,Decreasing,1.5874319485779078
59,Comfort Fit,tapered,128.2,"[5.0, 5.0, 1.0, 3.1, 2.5, 1.4, 2.9, 4.5, 5.0, 4.9]",M,Vietnam,930,2,49,Stable,2.0105040344391902
60,Modern Denim,straight,145.65,"[1.6, 5.0, 4.6, 1.9, 1.3, 2.8, 5.0, 5.0, 4.8, 4.5]",XS,Turkey,4159,198,11,Stable,2.118645994484688
61,Vintage Vogue,tapered,27.990000000000002,"[2.0, 1.9, 3.9, 4.2, 3.9, 1.9, 5.0, 2.0, 4.0, 3.8]",XS,Turkey,958,54,53,Stable,1.7767675702988823
62,Modern Denim,trouser,77.75,"[1.1, 5.0, 2.1, 5.0, 1.9, 1.6, 3.3, 3.2, 3.3, 5.0]",S,Bangladesh,4945,303,41,Increasing,1.6851328849994185
63,Urban Style,wide,102.83,"[2.1, 4.7, 5.0, 2.0, 5.0, 3.1, 4.3, 1.5, 4.0, 4.5]",M,China,9189,191,21,Stable,2.091352798051915
64,Retro Wear,sailor,35.56,"[5.0, 4.7, 4.4, 5.0, 4.7, 2.6, 1.2, 3.5, 2.3, 4.6]",S,China,3421,245,50,Stable,2.257801038744198
65,Vintage Vogue,straight,141.76999999999998,"[3.2, 1.4, 3.1, 4.3, 5.0, 2.2, 4.4, 5.0, 4.4, 5.0]",L,Bangladesh,7279,343,54,Decreasing,2.257801038744198
66,Trendy Tailors,wide,99.26,"[1.7, 1.8, 3.6, 5.0, 2.7, 3.3, 3.1, 2.7, 3.2, 5.0]",S,Turkey,3257,413,40,Stable,1.7348657437456332
67,Comfort Fit,skinny,31.25,"[1.4, 3.3, 3.0, 4.7, 5.0, 4.9, 4.5, 4.3, 1.4, 2.9]",S,Mexico,678,422,55,Stable,2.0194120848938413
68,Vintage Vogue,flared,40.739999999999995,"[5.0, 1.9, 1.7, 3.3, 4.6, 4.6, 5.0, 3.9, 1.5, 3.0]",XS,Vietnam,9551,318,20,Stable,1.939900412651872
69,Urban Style,jogger,124.27,"[1.7, 1.5, 2.0, 3.4, 5.0, 3.6, 1.7, 2.4, 4.1, 4.9]",XS,Turkey,4713,542,9,Decreasing,1.5874319485779074
70,Modern Denim,trouser,134.64,"[5.0, 2.9, 1.6, 2.1, 4.9, 4.2, 3.9, 3.6, 1.6, 3.2]",S,Vietnam,9576,89,16,Stable,1.8105927367269663
71,Vintage Vogue,jogger,59.32,"[2.1, 1.3, 5.0, 4.3, 5.0, 2.2, 4.4, 4.5, 2.9, 1.6]",M,India,2740,262,11,Decreasing,1.8361408309936622
72,Urban Style,straight,86.17,"[3.9, 3.5, 4.3, 1.4, 2.8, 3.6, 4.5, 5.0, 5.0, 3.1]",S,India,4513,21,4,Stable,2.1737621653427044
73,Classic Cuts,wide,36.9,"[2.0, 4.5, 2.9, 5.0, 2.0, 3.1, 2.7, 3.0, 3.1, 1.4]",L,Turkey,204,408,4,Decreasing,1.5394489327109562
74,Urban Style,cropped,112.32,"[4.3, 2.0, 3.2, 5.0, 4.1, 3.6, 1.3, 2.9, 5.0, 1.0]",M,Mexico,1725,309,41,Increasing,1.7599565045395236
75,Trendy Tailors,skinny,81.27000000000001,"[4.4, 2.0, 5.0, 2.8, 4.2, 1.9, 2.1, 4.0, 1.2, 2.9]",XS,Bangladesh,6217,81,10,Stable,1.6035539515683377
76,Trendy Tailors,tapered,98.46,"[3.5, 3.1, 4.9, 2.5, 3.7, 3.1, 1.6, 1.5, 5.0, 4.5]",L,Bangladesh,4337,459,7,Increasing,1.8446912760928613
77,Modern Denim,skinny,84.19,"[4.8, 1.8, 5.0, 1.8, 1.6, 5.0, 5.0, 4.8, 2.2, 2.7]",XL,Vietnam,4261,502,47,Decreasing,1.957442188853983
78,Denim Co.,paper bag,118.58,"[2.9, 2.1, 3.8, 4.9, 5.0, 2.4, 1.9, 5.0, 5.0, 1.1]",L,Bangladesh,2679,52,27,Increasing,1.905031866199602
79,Vintage Vogue,sailor,149.19,"[3.2, 5.0, 2.6, 2.5, 4.8, 1.4, 2.9, 2.5, 3.2, 5.0]",L,China,7563,443,48,Decreasing,1.8190916143115725
80,Comfort Fit,flared,15.510000000000002,"[4.6, 4.3, 2.1, 5.0, 4.5, 2.0, 4.0, 5.0, 1.8, 1.4]",XL,Turkey,6756,238,59,Increasing,1.957442188853983
81,Retro Wear,flared,21.74,"[2.5, 5.0, 4.8, 3.8, 3.8, 1.3, 4.8, 3.6, 3.4, 5.0]",S,USA,3170,172,22,Decreasing,2.257801038744198
82,Retro Wear,skinny,97.64,"[4.9, 3.6, 3.5, 3.0, 3.7, 4.3, 2.5, 2.9, 1.1, 5.0]",XS,USA,5832,464,59,Decreasing,1.939900412651872
