Company,Style,Price,Star Ratings List,Size,Country of Manufacturer,Units Sold,Units Returned,Months on Market,Sales Trend,Average Star Rating
Modern Denim,skinny,102.32,"[5.0, 1.9, 4.4, 3.6, 1.2, 4.8, 5.0, 4.2, 4.2, 4.9]",S,Bangladesh,4243,466,7,Decreasing,2.372527955164342
Trendy Tailors,flared,57.26,"[2.4, 3.1, 2.5, 1.6, 2.0, 2.9, 4.9, 5.0, 2.2, 1.9]",S,USA,3432,317,30,Increasing,1.4451870589547557
Vintage Vogue,skinny,36.09,"[3.9, 3.9, 4.7, 5.0, 4.8, 5.0, 1.9, 5.0, 1.7, 4.4]",M,China,5615,499,11,Stable,2.480559269263127
Jeans Unlimited,straight,60.59,"[3.3, 4.0, 4.6, 2.7, 3.3, 2.7, 1.1, 1.3, 1.4, 5.0]",L,USA,2332,7,1,Decreasing,1.515671459867075
Blue Threads,paper bag,99.02,"[2.3, 2.7, 1.1, 3.6, 5.0, 4.4, 2.1, 3.0, 2.0, 5.0]",L,China,9963,390,41,Stable,1.6604885619845433
Vintage Vogue,cropped,103.68,"[3.1, 5.0, 2.4, 5.0, 5.0, 4.4, 2.9, 1.9, 1.8, 2.1]",S,India,5557,266,6,Decreasing,1.8618441117748818
Jeans Unlimited,skinny,31.94,"[4.7, 2.9, 4.4, 5.0, 5.0, 3.6, 5.0, 2.7, 3.1, 3.5]",L,China,8310,83,31,Stable,2.4409447888250737
Blue Threads,paper bag,147.09,"[3.2, 3.8, 4.7, 2.9, 3.8, 3.0, 2.6, 5.0, 2.7, 1.6]",XS,Mexico,5323,138,25,Decreasing,1.8361408309936613
Comfort Fit,sailor,25.23,"[1.7, 2.6, 3.1, 3.3, 2.8, 5.0, 4.8, 1.1, 2.0, 2.8]",S,India,3147,477,24,Stable,1.4998986039218278
Retro Wear,cropped,104.24,"[5.0, 4.8, 1.4, 1.5, 1.3, 3.1, 2.0, 5.0, 2.9, 3.1]",L,Mexico,3200,311,21,Increasing,1.57137393454821
Modern Denim,jogger,125.08,"[5.0, 5.0, 1.4, 3.1, 4.6, 1.4, 1.6, 2.1, 3.3, 4.7]",S,Bangladesh,7303,374,20,Stable,1.7432126128170133
Modern Denim,sailor,147.4,"[5.0, 5.0, 1.9, 4.9, 4.8, 2.6, 2.5, 5.0, 2.8, 3.8]",S,Mexico,8907,355,34,Stable,2.2861895919620774
Jeans Unlimited,flared,140.95,"[1.4, 5.0, 2.3, 3.2, 5.0, 5.0, 3.0, 1.2, 4.9, 1.7]",S,Mexico,440,374,16,Decreasing,1.7851984100359064
Urban Style,wide,133.77,"[5.0, 3.5, 4.1, 5.0, 4.3, 2.3, 3.7, 2.0, 5.0, 3.9]",XS,India,1588,380,39,Increasing,2.3339347008148743
Blue Threads,wide,99.74,"[4.2, 2.0, 1.0, 2.4, 1.4, 2.5, 4.8, 4.6, 5.0, 5.0]",M,Vietnam,8955,17,5,Increasing,1.8021109438315652
Retro Wear,tapered,98.65,"[2.5, 3.3, 5.0, 2.5, 1.4, 4.9, 5.0, 1.2, 4.0, 5.0]",L,Bangladesh,7489,17,23,Increasing,1.9662401849160123
Denim Co.,skinny,96.86,"[4.4, 5.0, 1.5, 5.0, 2.7, 1.0, 4.0, 2.4, 5.0, 3.9]",XL,India,7592,271,57,Decreasing,1.975056344394492
Modern Denim,jogger,70.86,"[1.8, 5.0, 1.5, 4.3, 2.8, 5.0, 5.0, 1.5, 4.0, 4.3]",S,Mexico,776,118,40,Increasing,2.0016145093534483
Jeans Unlimited,paper bag,21.98,"[2.1, 2.0, 5.0, 3.0, 3.0, 1.3, 5.0, 4.7, 3.9, 5.0]",XL,India,3657,210,28,Stable,1.9838907373057266
Classic Cuts,straight,65.2,"[2.2, 4.6, 5.0, 3.0, 4.7, 4.4, 3.7, 1.5, 1.6, 4.6]",M,USA,8024,46,28,Increasing,2.010504034439191
Vintage Vogue,cropped,135.82,"[5.0, 5.0, 3.4, 4.3, 2.1, 4.1, 4.8, 5.0, 4.8, 5.0]",XS,India,5506,398,29,Stable,2.8126794688914947
Blue Threads,jogger,43.68,"[4.8, 5.0, 5.0, 5.0, 2.0, 2.9, 2.1, 1.5, 3.1, 1.8]",L,Mexico,2890,491,35,Stable,1.8276076282199698
Vintage Vogue,sailor,72.04,"[1.1, 4.9, 1.5, 5.0, 1.7, 2.0, 3.4, 3.1, 5.0, 5.0]",L,Turkey,9078,198,9,Increasing,1.7851984100359064
Retro Wear,wide,21.28,"[5.0, 3.6, 2.5, 3.0, 3.8, 1.4, 3.5, 2.9, 5.0, 2.7]",M,Bangladesh,9681,76,44,Increasing,1.8446912760928613
Comfort Fit,trouser,71.85,"[3.3, 2.2, 5.0, 5.0, 2.9, 1.5, 2.5, 1.3, 5.0, 4.4]",M,China,2942,482,30,Decreasing,1.8190916143115734
Urban Style,paper bag,38.07,"[1.5, 5.0, 1.6, 2.9, 2.0, 1.9, 1.5, 4.1, 5.0, 4.9]",M,USA,2820,121,54,Decreasing,1.5954849361743182
Trendy Tailors,trouser,106.5,"[2.1, 5.0, 4.7, 2.3, 3.7, 3.9, 5.0, 1.7, 2.4, 4.1]",M,Vietnam,3251,366,50,Stable,1.975056344394492
Denim Co.,jogger,121.49,"[2.7, 3.5, 5.0, 3.8, 1.2, 4.4, 5.0, 1.6, 2.8, 4.4]",M,USA,4320,369,53,Decreasing,1.9311564981655658
Vintage Vogue,paper bag,86.11,"[2.6, 3.8, 4.6, 2.1, 3.1, 3.4, 2.8, 5.0, 2.3, 5.0]",L,Bangladesh,2533,411,21,Decreasing,1.9574421888539835
Trendy Tailors,skinny,124.97,"[2.8, 5.0, 4.1, 5.0, 1.0, 1.9, 3.6, 3.3, 4.8, 5.0]",L,Vietnam,6134,316,47,Decreasing,2.118645994484688
Classic Cuts,cropped,93.7,"[3.0, 3.9, 1.9, 3.3, 5.0, 3.5, 5.0, 2.5, 4.3, 5.0]",XL,Vietnam,2288,289,59,Decreasing,2.201590360105674
Retro Wear,tapered,78.77,"[1.3, 1.9, 4.5, 5.0, 2.8, 5.0, 1.5, 4.0, 4.7, 4.8]",S,India,5298,413,48,Stable,2.0283387367633097
Modern Denim,trouser,70.34,"[1.9, 3.4, 1.9, 1.8, 5.0, 4.5, 5.0, 1.0, 2.2, 2.0]",S,Mexico,7064,290,45,Stable,1.4607408581010815
Jeans Unlimited,wide,75.18,"[4.6, 2.0, 5.0, 1.7, 1.5, 1.0, 2.0, 5.0, 3.6, 4.6]",XL,Vietnam,9505,127,18,Stable,1.6441405685069412
Denim Co.,trouser,59.94,"[2.1, 1.1, 5.0, 1.4, 3.2, 3.6, 5.0, 4.3, 5.0, 1.1]",XL,Mexico,9709,386,28,Decreasing,1.7099249185653862
Classic Cuts,cropped,147.78,"[1.1, 2.8, 2.3, 5.0, 1.9, 2.1, 2.0, 1.9, 5.0, 2.2]",S,USA,7295,59,39,Decreasing,1.2781732647624664
Vintage Vogue,flared,144.83,"[1.2, 3.1, 4.0, 1.5, 3.2, 4.6, 3.2, 5.0, 5.0, 4.1]",XL,USA,9982,22,4,Stable,1.975056344394492
Trendy Tailors,cropped,132.84,"[5.0, 1.2, 4.6, 5.0, 2.7, 1.0, 3.9, 1.5, 5.0, 5.0]",S,Vietnam,2248,464,23,Increasing,1.9750563443944928
Blue Threads,flared,115.28,"[3.3, 2.8, 5.0, 4.3, 4.2, 1.5, 5.0, 3.6, 4.3, 4.1]",S,China,7872,488,47,Increasing,2.267242637500627
Urban Style,straight,20.44,"[1.5, 3.7, 5.0, 2.3, 5.0, 2.9, 1.9, 2.2, 4.6, 3.4]",S,China,5235,396,6,Decreasing,1.7683536175558443
Vintage Vogue,flared,148.69,"[3.5, 4.0, 1.0, 4.4, 3.5, 4.3, 3.2, 5.0, 2.1, 2.5]",XL,China,9723,453,44,Stable,1.8532590179085613
Comfort Fit,tapered,41.09,"[5.0, 4.0, 4.7, 2.9, 3.2, 1.2, 3.3, 3.2, 5.0, 3.4]",L,Turkey,5627,255,23,Increasing,2.0642329239838473
Urban Style,flared,23.83,"[4.9, 4.8, 1.6, 5.0, 1.2, 2.3, 5.0, 3.9, 1.5, 3.6]",S,Turkey,599,278,33,Decreasing,1.879066581787766
Denim Co.,sailor,149.46,"[1.4, 3.3, 2.2, 1.7, 2.4, 2.5, 1.4, 1.0, 5.0, 5.0]",XL,Turkey,1527,495,55,Stable,1.2486042262134758
Classic Cuts,wide,132.69,"[2.6, 5.0, 4.1, 5.0, 5.0, 4.9, 2.2, 4.7, 2.6, 3.5]",S,Mexico,6251,268,4,Decreasing,2.41148395384147
Jeans Unlimited,jogger,69.72,"[5.0, 3.8, 4.2, 3.4, 5.0, 3.0, 2.7, 2.1, 3.0, 1.8]",XS,Vietnam,8095,277,58,Stable,1.8963591481556645
Vintage Vogue,jogger,102.68,"[5.0, 1.5, 5.0, 2.6, 3.4, 4.5, 4.0, 5.0, 1.3, 2.4]",S,Bangladesh,9204,352,56,Decreasing,1.957442188853983
Jeans Unlimited,cropped,62.77,"[5.0, 1.2, 4.8, 3.0, 2.4, 1.7, 4.4, 2.3, 4.2, 2.5]",M,India,9000,90,9,Increasing,1.6851328849994185
Trendy Tailors,straight,126.59,"[3.1, 5.0, 2.9, 5.0, 5.0, 1.4, 3.3, 1.0, 1.3, 4.4]",L,Mexico,4855,195,40,Increasing,1.7599565045395236
Modern Denim,paper bag,114.48,"[4.3, 3.6, 1.1, 4.3, 1.3, 2.4, 2.1, 3.8, 5.0, 5.0]",L,Bangladesh,8576,230,38,Increasing,1.8021109438315654
Urban Style,wide,89.24,"[3.1, 3.7, 1.9, 3.8, 3.3, 3.7, 1.0, 2.5, 3.0, 5.0]",S,Mexico,4092,342,11,Increasing,1.6441405685069412
Urban Style,sailor,134.43,"[3.6, 1.4, 5.0, 1.7, 1.6, 5.0, 2.0, 1.8, 3.8, 5.0]",S,Vietnam,2659,382,50,Stable,1.6359909293908919
Classic Cuts,flared,60.19,"[5.0, 1.2, 2.0, 2.8, 5.0, 4.2, 4.1, 2.4, 2.7, 4.8]",S,Bangladesh,1008,168,45,Stable,1.9137222888350394
Comfort Fit,skinny,96.12,"[4.1, 5.0, 3.2, 5.0, 3.6, 2.1, 1.6, 5.0, 2.0, 4.0]",XL,India,8408,59,42,Increasing,2.0372840673575583
